Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
India,Adi Shankar, Activists/Civil Rights,40837
India,Anirvan Ghosh, Scholars,40810
India,Ajay Banga, Business Executives,40669
India,San Banarje, Activists/Civil Rights,40458
India,Sreenath Sreenivasan, Media,40398
India,Pradeep Sindhu, Founders / Entrepreneurs / Venture Capitalists,40396
India,Sanjay Jha, Business Executives,40310
India,Ramesh Ponnuru, Media,40224
India,Vashtie Kola, Fashion designers,40127
India,Ramesh K. Agarwal, Science and technology,39960
India,Umang Gupta, Former,39935
India,Alpana Singh, Media,39908
India,Mathukumalli Vidyasagar, Science and technology,39851
India,Marti G. Subrahmanyam, Scholars,39797
India,Dileep Rao, Actors and actresses,39794
India,Ghalib Shiraz Dhalla, Literature,39787
India,Tirlok Malik, Activists/Civil Rights,39775
India,Sanjay Mishra, Musicians,39689
India,Aswath Damodaran, Scholars,39509
India,Sabeer Bhatia, Science and technology,39507
India,Tina Sugandh, Activists/Civil Rights,39439
India,Aimee Nezhukumatathil, Literature,39337
India,Sanjay Subrahmanyam, Scholars,39245
India,Rina Banerjee, Activists/Civil Rights,39234
India,Thomas Anantharaman, Science and technology,39206
India,Paul Sabu, Musicians,39163
India,Manish Dayal, Actors and actresses,38886
India,Preeta D. Bansal, Civil Servants,38771
India,K. C. Sreedharan Pillai, Mathematicians,38721
India,Jay Sidhu, Former,38701
India,Gitanjali S. Gutierrez, Activists/Civil Rights,38667
India,M.R. Rangaswami, Founders / Entrepreneurs / Venture Capitalists,38632
India,Sukanya Krishnan, Media,38342
India,Dipak C. Jain, Dean/President,38296
India,Thrity Umrigar, Literature,38257
India,Uday Singh Taunque, Military,38136
India,Sushil Kumarji, Religion,38077
India,K. Mani Chandy, Scholars,37977
India,Priya David, Media,37967
India,Bhairavi Desai, Activists/Civil Rights,37965
India,Asha Blake, Media,37937
India,Krishna Bharat, Science and technology,37924
India,S. Lochlann Jain, Scholars,37779
India,Islam A. Siddiqui, Civil Servants,37728
India,Molly Easo Smith, Dean/President,37722
India,Subrah Iyar, Science and technology,37703
India,Bibhu Mohapatra, Fashion designers,37695
India,Anjul Nigam, Actors and actresses,37621
India,Deepa Fernandes, Media,37536
India,Bikram Singh, Musicians,37528
India,Alok Bhargava, Scholars,37487
India,"Anil K. Jain (electrical engineer, born 1946)", Scholars,37466
India,Raj Jain, Scholars,37395
India,Nitin Nohria, Dean/President,37358
India,Mallika Dutt, Activists/Civil Rights,37331
India,"Anil K. Jain (computer scientist, born 1948)", Scholars,37257
India,Ravi Hutheesing, Musicians,37138
India,Joe Roche, Military,36978
India,Nazir Jairazbhoy, Scholars,36956
India,Rajiv Chandrasekaran, Media,36878
India,Arun Majumdar, Civil Servants,36814
India,Indira Viswanathan Peterson, Literature,36796
