Source Country,Name,Field Of Influence,Generation,Influence,Description
Germany,John Alt,Sports,First Generation,51584,John Michael Alt  is a former professional American football offensive tackle in the National Football League
Germany,Interaction,Other,Second Generation or Higher,51562,Interaction is a kind of action that occurs as two or more objects have an effect upon one another
Germany,Penny Pax,Arts/Entertainment,Second Generation or Higher,51417,Penny Pax  is the stage name of an American pornographic actress and model
Germany,William Mapother,Arts/Entertainment,Second Generation or Higher,51351,"William Reibert Mapother, Jr"
Germany,Dan Kreider,Sports,Second Generation or Higher,51243,Dan Kreider  is a former American football fullback
Germany,Harvey Firestone,Business/Technology,Second Generation or Higher,51219,"Harvey Samuel Firestone  was an American businessman, and the founder of the Firestone Tire and Rubber Company, one of the first global makers of automobile tires"
Germany,Howard Dietz,Arts/Entertainment,Second Generation or Higher,51074,"Howard Dietz  was an American publicist, lyricist, and librettist"
Germany,Julius Heil,Government,Second Generation or Higher,50998,Julius Peter Heil  was an American politician and the 30th Governor of Wisconsin from 1939 to 1943
Germany,Chris von der Ahe,Sports,Second Generation or Higher,50985,"Christian Friedrich  Wilhelm von der Ahe  was a German-American entrepreneur, best known as the owner of the St"
Germany,Chris Rolfe,Sports,Second Generation or Higher,50965,Chris Rolfe  is an American soccer player who currently plays for D
Germany,George A. Dickel,Business/Technology,First Generation,50939,"George Adam Dickel  was a German-born American businessman best known for his namesake brand of whiskey, George Dickel, one of two major brands of Tennessee whiskey"
Germany,Chris Frantz,Arts/Entertainment,Second Generation or Higher,50683,Chris Frantz  is an American musician and record producer
Germany,Reinhold O. Schmidt,Other,Second Generation or Higher,50421,"Reinhold Schmidt  was a 1957 UFO ""contactee"" in an era that began with George Adamski in 1953"
Germany,Theodore Emanuel Schmauk,Religion,Second Generation or Higher,50380,"Theodore Emanuel Schmauk, D"
Germany,Oswald Ottendorfer,Literature,First Generation,50237,Valentin Oswald Ottendorfer  was a United States journalist associated with the development of the German-language New Yorker Staats-Zeitung into a major newspaper
Germany,August Schellenberg,Arts/Entertainment,Second Generation or Higher,50149,August Werner Schellenberg  was a Canadian-born actor
Germany,Hans Dreier,Arts/Entertainment,Second Generation or Higher,50066,Hans Dreier  was a film art director
Germany,Horst P. Horst,Arts/Entertainment,First Generation,49944,Horst Paul Albert Bohrmann  who chose to be known as Horst P
Germany,Greg Ostertag,Sports,Second Generation or Higher,49897,Gregory Donovan Ostertag  is an American retired professional basketball player
Germany,Ralph Taeger,Arts/Entertainment,Second Generation or Higher,49807,Ralph Taeger  was an American former actor who starred in three short-lived television series during the 1960s
Germany,Vicki Baum,Literature,Second Generation or Higher,49689,Hedwig  Baum  was an Austrian writer
Germany,Walter Haeussermann,Academia/Science,First Generation,49687,"Walter Haeussermann  was a German-American aerospace engineer and member of the ""von Braun rocket group"", both at Peenem»nde and later at Marshall Space Flight Center, where he was the director of the guidance and control laboratory"
Germany,Clement Studebaker,Business/Technology,Second Generation or Higher,49581,Clement Studebaker  was an American wagon and carriage manufacturer
Germany,Erik von Detten,Arts/Entertainment,Second Generation or Higher,49577,Erik Thomas von Detten  is an American actor
Germany,Ottmar Mergenthaler,Academia/Science,First Generation,49574,"Ottmar Mergenthaler  was a German-born inventor who has been called a second Gutenberg because of his invention of the Linotype machine, the first device that could easily and quickly set complete lines of type for use in printing presses"
Germany,Fritz Ostermueller,Sports,Second Generation or Higher,49444,"Frederick Raymond ""Fritz"" Ostermueller  was a pitcher in major league baseball from 1934 to 1948 for the Boston Red Sox, Brooklyn Dodgers, Pittsburgh Pirates, and St"
Germany,Heinz Eric Roemheld,Arts/Entertainment,Second Generation or Higher,49430,Heinz Roemheld  was an American composer
Germany,Jacques Loeb,Academia/Science,First Generation,49417,Jacques Loeb  was a German-born American physiologist and biologist
Germany,James Haven,Arts/Entertainment,Second Generation or Higher,49284,James Haven  is an American actor and producer
Germany,Mackenzie Astin,Arts/Entertainment,Second Generation or Higher,49270,Mackenzie Alexander Astin  is an American actor
Germany,Andreas Feininger,Arts/Entertainment,First Generation,49119,Andreas Bernhard Lyonel Feininger  was an American photographer and a writer on photographic technique
Germany,Daniel Hiester,Military,Second Generation or Higher,49119,Daniel Hiester  was an American political and military leader from the Revolutionary War period to the early 19th Century
Germany,Gretchen Bleiler,Sports,Second Generation or Higher,48949,Gretchen Bleiler  is an American professional halfpipe snowboarder
Germany,Bill Zuber,Sports,Second Generation or Higher,48944,William Henry Zuber  was a professional baseball pitcher
Germany,Michael Strobl,Military,Second Generation or Higher,48732,"Michael R  Strobl is a retired United States Marine Corps officer from Stafford, Virginia"
Germany,Claus Spreckels,Business/Technology,Second Generation or Higher,48719,"Claus Spreckels, formally Adolph Claus J"
Germany,Severin Roesen,Arts/Entertainment,First Generation,48506,Severin Roesen  is a painter known for his abundant fruit and flower still lifes and is today recognized as one of the major American still-life painters of the mid-nineteenth century
Germany,H. J. Heinz II,Business/Technology,Second Generation or Higher,48479,"Henry John ""Jack"" Heinz II  was an American business executive and CEO of the H"
Germany,Gunther Cunningham,Sports,First Generation,48465,Gunther Cunningham  is the American football senior coaching assistant for the Detroit Lions
Germany,David Wechsler,Academia/Science,Second Generation or Higher,48358,"David ""Wex"" Wechsler  was a leading American psychologist"
Germany,Yvonne Maria Schaefer,Arts/Entertainment,First Generation,48183,"Yvonne Maria Schaefer , is a German actress, model and producer"
Germany,James Lawrence Getz,Government,Second Generation or Higher,48121,James Lawrence Getz  was a Democratic member of the U
Germany,Charles Sealsfield,Literature,Second Generation or Higher,48070,"Charles Sealsfield was the pseudonym of Austrian-American journalist Carl  Anton Postl , an advocate for a German democracy"
Germany,William Zeckendorf,Business/Technology,Second Generation or Higher,48042,
Germany,Rick Kranitz,Sports,Second Generation or Higher,47931,Richard Alan Kranitz  is the pitching coach for the Milwaukee Brewers
Germany,Andrew Wiedeman,Sports,Second Generation or Higher,47904,Andrew Wiedeman  is an American soccer player who currently plays for NASL club Ottawa Fury FC
Germany,Germany Schaefer,Sports,Second Generation or Higher,47890,"Herman A  ""Germany"" Schaefer  was a second baseman in Major League Baseball who played fifteen seasons with the Chicago Cubs, Detroit Tigers, Washington Senators, Newark Pepper, New York Yankees, and Cleveland Indians"
Germany,Frank Seiberling,Business/Technology,Second Generation or Higher,47820,Frank Augustus Seiberling  was an American inventor and founder
Germany,Kelly Reichardt,Arts/Entertainment,Second Generation or Higher,47755,Kelly Reichardt is a screenwriter and film director working within American indie cinema
Germany,William B. Bader,Government,Second Generation or Higher,47667,William Banks Bader  was United States Assistant Secretary of State for Educational and Cultural Affairs from 1999 to 2001
Germany,Charles Christian Nahl,Arts/Entertainment,First Generation,47563,"Carl Christian Heinrich Nahl , later known as Charles Nahl, and sometimes Karl Nahl, Charles Christian Nahl or Charles C"
Germany,Werner Dahm,Academia/Science,Second Generation or Higher,47517,Werner Karl Dahm  was an early spaceflight scientist of the Peenem»nde Future Projects Office who emigrated to the US under Operation Paperclip and was the Marshall Space Flight Center Chief Aerodynamicist
Germany,Lewis David de Schweinitz,Academia/Science,Second Generation or Higher,47326,Lewis David de Schweinitz  was a German-American botanist and mycologist
Germany,August Siemering,Government,First Generation,47270,"August Siemering , was a notable German Texan educator, writer, publisher and political leader"
Germany,Mark Hellinger,Arts/Entertainment,Second Generation or Higher,47110,"Mark Hellinger  was an American journalist, theatre columnist and film producer"
Germany,Hubert Dilger,Military,First Generation,47011,Hubert Anton Casimir Dilger  was a German immigrant to the United States who became a decorated artillerist in the Union Army during the American Civil War
Germany,Buck Herzog,Sports,Second Generation or Higher,47007,"Charles Lincoln ""Buck"" Herzog  was an American infielder and manager in Major League Baseball who played for four National League clubs between 1908 and 1920"
Germany,Francis Xavier Seelos,Religion,First Generation,46879,Blessed Francis Xavier Seelos  was a German-American Roman Catholic priest and Redemptorist missionary
Germany,Taylor Buchholz,Sports,Second Generation or Higher,46843,Taylor Buchholz  is an American former professional baseball pitcher
Germany,Rudolf Martin,Arts/Entertainment,First Generation,46707,Rudolf Martin  is a German actor working mainly in the U
Germany,Rudolph Wurlitzer,Business/Technology,Second Generation or Higher,46630,"Rudolph ""Rudy"" Wurlitzer  is an American novelist and screenwriter"
Germany,Tom Herr,Sports,Second Generation or Higher,46620,Thomas Mitchell Herr  is a former second baseman in Major League Baseball who played from 1979 to 1991 for the St
Germany,Frederick Pabst,Other,Second Generation or Higher,46616,Frederick Pabst  was a German-American brewer who founded the Pabst Brewing Company
Germany,Fabian Pascal,Business/Technology,Second Generation or Higher,46559,"Fabian Pascal is a consultant to large software vendors such as IBM, Oracle Corporation, and Borland, but is better known as an author and seminar speaker"
Germany,Joe Engel,Sports,Second Generation or Higher,46546,"Joseph William ""Joe"" Engel  was an American right-handed pitcher and scout in Major League Baseball who spent nearly his entire career with the Washington Senators, and went on to become a promoter and team owner in the minor leagues"
Germany,Gustav Schleicher,Government,Second Generation or Higher,46479,Gustav Schleicher   was a German-born Democratic United States Representative from Texas
Germany,Seth Stammler,Sports,Second Generation or Higher,46461,Seth Stammler  is a retired American soccer player
Germany,Albert Wohlstetter,Academia/Science,Second Generation or Higher,46445,Albert Wohlstetter  was an influential and controversial nuclear strategist during the Cold War
Germany,George Atzerodt,Other,Second Generation or Higher,46442,"George Andreas Atzerodt  was a conspirator, with John Wilkes Booth, in the assassination of U"
Germany,Raymond Philip Etteldorf,Religion,Second Generation or Higher,46355,Raymond Philip Etteldorf  was an Archbishop of the Roman Catholic Church
Germany,John Andrew Shulze,Government,Second Generation or Higher,46318,John Andrew Shulze  was a Pennsylvania political leader and the sixth Governor of Pennsylvania
Germany,Michael Hillegas,Other,Second Generation or Higher,46259,Michael Hillegas  was the first Treasurer of the United States
Germany,"Frank ""The German"" Schweihs",Other,Second Generation or Higher,46199,"Francis John Schweihs , aka ""Frank the German"", was an alleged hitman who had been known to work for The Outfit, the organized crime family in Chicago"
Germany,Carly Schroeder,Arts/Entertainment,First Generation,46189,Carly Brook Schroeder  is an American film and television actress
Germany,George Erik Rupp,Religion,First Generation,46161,"George Erik Rupp  is an American educator and theologian, the former President of Rice University and later of Columbia University, and president of the International Rescue Committee from July 2002 to August 2013"
Germany,Eric Kretz,Arts/Entertainment,Second Generation or Higher,46155,"Eric Kretz  is an American musician and producer, best known as the drummer for the rock band Stone Temple Pilots"
Germany,Oscar Mayer,Business/Technology,Second Generation or Higher,46002,"The Oscar Mayer Company is an American meat and cold cut production company, owned by Kraft Foods"
Germany,Hans Lobert,Sports,Second Generation or Higher,45946,"John Bernard ""Hans"" Lobert  was an American infielder, coach, manager and scout in Major League Baseball"
Germany,Eileen Rockefeller Growald,Academia/Science,Second Generation or Higher,45918,Eileen Rockefeller  is an American philanthropist
Germany,John Lewis Krimmel,Arts/Entertainment,Second Generation or Higher,45841,"John Lewis Krimmel , sometimes called ""the American Hogarth"" was America's first painter of genre scenes"
Germany,Harold Knerr,Arts/Entertainment,Second Generation or Higher,45681,"Harold Hering Knerr  was an American comic strip creator, who signed his work H"
Germany,Don Hasselbeck,Sports,Second Generation or Higher,45602,"Donald William ""Don"" Hasselbeck  is a former professional football player, a tight end in the National Football League for the New England Patriots, Los Angeles Raiders, Minnesota Vikings, and the New York Giants"
Germany,Reinhold Heil,Arts/Entertainment,Second Generation or Higher,45599,Reinhold Heil  is a film and television composer based in Los Angeles
Germany,Craig Lefferts,Sports,First Generation,45478,"Craig Lindsay Lefferts  is a former relief pitcher for the Chicago Cubs, San Diego Padres, San Francisco Giants, Baltimore Orioles, Texas Rangers and California Angels between 1983 and 1994"
Germany,Paul Vogel,Arts/Entertainment,Second Generation or Higher,45405,
Germany,Dick Hoblitzel,Sports,Second Generation or Higher,45344,"Richard Carleton ""Dick"" Hoblitzell  played first base in the major leagues from 1908 to 1918"
Germany,Jaan Patterson,Arts/Entertainment,Second Generation or Higher,45314,"Jaan Patterson is a German composer and poet, and runs the Surrism-Phonoethics netlabel he had founded 2007"
Germany,Duke Welker,Sports,Second Generation or Higher,45191,"Matthew Scott ""Duke"" Welker  is a professional baseball pitcher who is currently a free agent"
Germany,Justin Speier,Sports,Second Generation or Higher,45185,Justin James Speier  is an American former professional baseball pitcher in Major League Baseball
Germany,Adolph Coors,Other,First Generation,45139,"Adolph Herman Joseph Coors, Sr"
Germany,Noah Dietrich,Business/Technology,Second Generation or Higher,45089,"Noah Dietrich  was an American business executive, who acted as Chief Executive Officer of the Howard Hughes empire , when, according to his own memoir, he left the Hughes operation over a dispute involving putting more of his income on a capital gains basis"
Germany,James E. Lentz III,Business/Technology,Second Generation or Higher,45084,
Germany,Eugene H. C. Leutze,Military,Second Generation or Higher,44936,Eugene Henry Cozzens Leutze  was an admiral of the United States Navy
Germany,Drew Neitzel,Sports,Second Generation or Higher,44799,"Andrew ""Drew"" Neitzel  is an American professional basketball player"
Germany,Justin Duchscherer,Sports,Second Generation or Higher,44751,Justin Craig Duchscherer [DUKE-shur]  is an American former professional baseball pitcher
Germany,Hellmuth Walter,Academia/Science,Second Generation or Higher,44522,Hellmuth Walter  was a German engineer who pioneered research into rocket engines and gas turbines
Germany,Charles Martin Loeffler,Arts/Entertainment,First Generation,44463,Charles Martin Tornov Loeffler  was a German-born American violinist and composer
Germany,Rudolph Dirks,Arts/Entertainment,Second Generation or Higher,44432,"Rudolph Dirks  was one of the earliest and most noted comic strip artists, well known for The Katzenjammer Kids "
Germany,Charles Von der Ahe,Business/Technology,First Generation,44135,"Charles Theodore Von der Ahe  was an American businessman, best known as an early innovator in the grocery business in Southern California, and founder of Vons supermarket chain in Southern California along with his two sons, Wilfred and Theodore"
Germany,Maxine Bahns,Arts/Entertainment,Second Generation or Higher,44124,"Maxine Lee Bahns  is an American actress, triathlete and model"
Germany,Harry Groener,Arts/Entertainment,First Generation,43961,"Harry Groener  is a German-born American actor and dancer, perhaps best known for playing Mayor Wilkins in Buffy the Vampire Slayer "
Germany,Patrick Dahlheimer,Arts/Entertainment,Second Generation or Higher,43896,"Patrick ""Pat"" Dahlheimer  is the bassist for the bands Live and The Gracious Few"
Germany,Ulli Kampelmann,Arts/Entertainment,First Generation,43890,"Ulli Kampelmann is a professional artist and educator from Germany, currently based in Florida"
Germany,Isaac Kaufmann Funk,Literature,Second Generation or Higher,43867,"Isaac Kaufmann Funk  was an American Lutheran minister, editor, lexicographer, publisher, and spelling reformer"
Germany,Kurt Frederick Ludwig,Other,First Generation,43839,"Kurt Frederick Ludwig  was a German spy and the head of the ""Joe K"" spy ring in the United States in 1940-41"
Germany,Fritz Kuhn,Other,First Generation,43713,Fritz Kuhn  is a German politician
Germany,Tony F. Schneider,Military,Second Generation or Higher,43646,Tony F  Schneider  was a former World War II pilot who taught at University of Louisville and was appointed the Holloway Plan Professor of Naval Science at the University of New Mexico
Germany,James Martinus Schoonmaker,Military,Second Generation or Higher,43637,"James Martinus Schoonmaker, Sr"
Germany,Leo Loeb,Academia/Science,Second Generation or Higher,43583,"Leo Loeb , was an American physician, educator, and experimental pathologist"
Germany,Conrad Beissel,Religion,First Generation,43575,"Johann Conrad Beissel  was the German-born religious leader who in 1732 founded the Ephrata Community in Pennsylvania, USA"
Germany,Krafft Arnold Ehricke,Academia/Science,Second Generation or Higher,43547,Krafft Arnold Ehricke  was a German rocket-propulsion engineer and advocate for space colonization
Germany,Ringling brothers,Arts/Entertainment,First Generation,43547,The Ringling brothers were seven siblings who transformed their small touring company of performers into one of America's largest circuses in the late 19th and early 20th centuries
Germany,Nicola Marschall,Arts/Entertainment,Second Generation or Higher,43438,Nicola Marschall  was a German-American artist who supported the Confederate cause during the American Civil War
Germany,Uwe Blab,Sports,First Generation,43420,Uwe Konstantin Blab  is a retired German professional basketball player who had a five-year career in the NBA
Germany,Barbara Hoffman,Sports,Second Generation or Higher,43251,Barbara Hoffman  is a former infielder who played from 1951 through 1952 in the All-American Girls Professional Baseball League
Germany,Greg Eckhardt,Sports,Second Generation or Higher,43236,Gregory Eckhardt  is an American soccer player
Germany,Eric Brunner,Sports,Second Generation or Higher,43229,Eric Brunner  is a retired American soccer player who played as a defender
Germany,Fred Duesenberg,Business/Technology,First Generation,43229,"Frederick Samuel Duesenberg  was a German-born American automobile pioneer designer, manufacturer and sportsman"
Germany,Kurt Kreuger,Arts/Entertainment,First Generation,43184,Kurt Kreuger  was a Swiss-reared German actor
Germany,Hope Rockefeller Aldrich,Literature,Second Generation or Higher,43016,Hope Aldrich Rockefeller  is a newspaper publisher
Germany,Curt Bois,Arts/Entertainment,Second Generation or Higher,42804,Curt Bois  was a German actor
Germany,Frank Finkel,Military,First Generation,42756,"Frank Finkel  was an American who rose to prominence late in his life and after his death for his claims to being the only survivor of George Armstrong Custer's famed ""Last Stand"" at the Battle of the Little Bighorn on June 25, 1876"
Germany,Disclaimers,Other,Second Generation or Higher,42448,A disclaimer is generally any statement intended to specify or delimit the scope of rights and obligations that may be exercised and enforced by parties in a legally recognized relationship
Germany,Gus Winkler,Other,Second Generation or Higher,42417,"Gus Winkler  was an American gangster who headed a Prohibition-era criminal gang specializing in armed robbery and murder for hire with Fred ""Killer"" Burke"
Germany,Friedrich Hirth,Literature,Second Generation or Higher,42309,
Germany,Amber DeLuca,Sports,Second Generation or Higher,42256,"Amber Anne DeLuca is an American professional strongwoman, athlete female bodybuilder, and motivational speaker"
Germany,Hans Ulrich Gumbrecht,Academia/Science,First Generation,42212,"Hans Ulrich Gumbrecht, best known as ""Sepp"" Gumbrecht, is a German-born American literary theorist and currently the Albert Gu_rard Professor in Literature in the Departments of Comparative Literature, French and Italian, German, and Spanish and Portuguese at Stanford University and Zeppelin University"
Germany,Clint Kriewaldt,Sports,Second Generation or Higher,42157,Clint Kriewaldt  is a former American football linebacker
Germany,Julia Kasdorf,Literature,Second Generation or Higher,41897,Julia Mae Spicher Kasdorf  is an American poet
Germany,Brian Roehrkasse,Government,Second Generation or Higher,41849,"Brian J  Roehrkasse is from Urbandale, Iowa"
Germany,Frederick C. Salomon,Military,Second Generation or Higher,41769,Frederick  C  Salomon  was a German immigrant to the United States who served as a Union brigadier general in the American Civil War
Germany,Charles Godfrey Gunther,Government,First Generation,41732,Charles Godfrey Gunther  was a Democratic Mayor of New York City from 1864 until 1866
Germany,Arthur Hays Sulzberger,Business/Technology,Second Generation or Higher,41640,Arthur Hays Sulzberger  was the publisher of The New York Times from 1935 to 1961
Germany,Sade Baderinwa,Literature,First Generation,41556,"Folasade Olayinka Baderinwa, known professionally as Sade Baderinwa ,  is a news anchor at New York's WABC Channel 7"
Germany,Martin Baum,Government,Second Generation or Higher,41529,Martin Baum  was an American businessman and politician
Germany,Adolf Cluss,Arts/Entertainment,First Generation,41454,"Adolf Cluss  was a German-born American immigrant who became one of the most important architects in Washington, D"
Germany,Gustav Tafel,Military,First Generation,41391,"Gustav Tafel  was a German-born colonel in the Union Army during the American Civil War, and the mayor of Cincinnati, Ohio, from 1897 to 1900"
Germany,Wesley Schultz,Arts/Entertainment,Second Generation or Higher,41205,Wesley Keith Schultz  is the guitarist and lead vocalist for the American folk rock band The Lumineers
Germany,Paul Schrieber,Sports,Second Generation or Higher,41038,Paul Warren Schrieber  is an American professional baseball umpire
Germany,Bernard Kroger,Business/Technology,First Generation,41004,"Bernard Henry Kroger , better known as Barney Kroger, was an American businessman who created the Kroger chain of supermarkets starting in 1883"
Germany,Meyer Guggenheim,Other,Second Generation or Higher,40997,Meyer Guggenheim  was the patriarch of what became known as the Guggenheim family
Germany,Charley Lau,Sports,Second Generation or Higher,40947,Charles Richard Lau  was an American catcher and highly influential hitting coach in Major League Baseball
Germany,F. L. Maytag,Business/Technology,First Generation,40901,Frederick Louis Maytag I  also known as F
Germany,Helen Schneider,Arts/Entertainment,First Generation,40862,Helen Schneider  is an American singer and actress working mainly in Germany
Germany,Solomon Scheu,Government,Second Generation or Higher,40845,Solomon Scheu  was an American businessman and politician from New York
Germany,Solomon Loeb,Business/Technology,First Generation,40814,Solomon Loeb  was a German-born American banker and businessman
Germany,Eberhard Anheuser,Other,Second Generation or Higher,40799,"Eberhard Anheuser  was an American soap and candle maker as well as the father-in-law of Adolphus Busch, the founder of the Anheuser-Busch Company"
Germany,Frank Gusenburg,Other,Second Generation or Higher,40789,"Frank Gusenberg  was a German-American contract killer and a victim of the Saint Valentine's Day massacre in Chicago, Illinois"
Germany,Herbert Arthur Krause,Literature,Second Generation or Higher,40784,"Herbert Arthur Krause  was an American historian, author and college professor"
Germany,Ernst R. G. Eckert,Academia/Science,Second Generation or Higher,40782,Ernst Rudolph Georg Eckert  was a scientist who advanced the film cooling technique for aeronautical engines
Germany,John Jacob Bausch,Business/Technology,First Generation,40697,John Jacob Bausch  was an American maker of optical instruments who co-founded Bausch &amp; Lomb 
Germany,Philip Mayer Kaiser,Government,Second Generation or Higher,40678,Philip Mayer Kaiser  was a United States diplomat
Germany,Adolphus Busch III,Other,Second Generation or Higher,40670,Adolphus Busch III  was a brewing magnate who was the President and CEO of Anheuser-Busch from 1934 to 1946
Germany,Jana Bieger,Sports,First Generation,40645,Jana Lyn Bieger  is an American gymnast of German descent
Germany,Hiester Clymer,Government,Second Generation or Higher,40575,Hiester Clymer  was an American political leader from the state of Pennsylvania
Germany,Log in,Other,Second Generation or Higher,40483,"In computer security, a login or logon or sign in refers to the credentials required to obtain access to a computer system or other restricted area"
Germany,Maximilian Berlitz,Business/Technology,Second Generation or Higher,40392,"Maximilian  Delphinius Berlitz  was a linguist and the founder of the Berlitz Language Schools, the first of which he established in 1878 in Providence, Rhode Island"
Germany,What links here,Other,Second Generation or Higher,40326,"Within the Toolbox section on the left-hand side of every page is a link labeled ""What links here"""
Germany,George Frederick Baer,Business/Technology,Second Generation or Higher,40300,George Frederick Baer  was an American lawyer who was the President of the Philadelphia and Reading Railroad and spokesman for the owners during the Anthracite Coal Strike of 1902
Germany,Clara Lipman,Arts/Entertainment,Second Generation or Higher,39908,Clara Lipman  was an American musical comedy actress and playwright whose career began in 1885 and continued on until her retirement in 1927
Germany,Sanford A. Moeller,Arts/Entertainment,Second Generation or Higher,39725,"Sanford Augustus ""Gus"" Moeller  was an American rudimental drummer, a national champion, educator, and author"
Germany,Andrew Rothenberg,Arts/Entertainment,Second Generation or Higher,39600,"Andrew Rothenberg  is an American stage, television and film actor"
Germany,Philip Becker,Government,Second Generation or Higher,39553,"Philip Becker  was Mayor of the City of Buffalo, New York, serving 1876"
Germany,Keith Heinrich,Sports,Second Generation or Higher,39545,Keith Charles Heinrich  is a former American football tight end
Germany,Gus Schmelz,Sports,Second Generation or Higher,39446,"Gustavus Heinrich Schmelz  was an American manager in Major League Baseball for the Columbus Buckeyes , Cincinnati Red Stockings , and Columbus Solons  of the American Association, and for the St"
Germany,Nicholas Herkimer,Military,Second Generation or Higher,39438,"Nicholas Herkimer   was a militia Brigadier General during the American Revolutionary War, who died of wounds after the Battle of Oriskany"
Germany,Seymour Nebenzahl,Arts/Entertainment,Second Generation or Higher,39420,Seymour Nebenzal  was a German film producer
Germany,John Whitlinger,Sports,Second Generation or Higher,39262,John Whitlinger  is a former professional tennis player from the United States
Germany,Dick Weber,Sports,Second Generation or Higher,39249,"Richard Anthony ""Dick"" Weber  was a bowling professional and a founding member of the Professional Bowlers Association "
Germany,Aaron Hohlbein,Sports,Second Generation or Higher,39201,Aaron Hohlbein  is an American soccer player who is currently without a club
Germany,Max August Zorn,Academia/Science,First Generation,39158,Max August Zorn  was a German mathematician
Germany,Uwe von Schamann,Sports,First Generation,39074,Uwe Detlef Walter von Schamann  is a former professional American football placekicker
Germany,Billy Hoeft,Sports,Second Generation or Higher,39024,"William Frederick Hoeft  was a pitcher in Major League Baseball whose career spanned 15 seasons with the Detroit Tigers, Boston Red Sox, Baltimore Orioles, Milwaukee Braves, Chicago Cubs and San Francisco Giants"
Germany,Karl Ferdinand Wimar,Arts/Entertainment,Second Generation or Higher,39004,"Karl Ferdinand Wimar  , was a German-American painter who concentrated on Native Americans in the West and the great herds of buffalo"
Germany,August Schoenborn,Arts/Entertainment,First Generation,38984,August Gottlieb Schoenborn  was a German American architect who helped design the United States Capitol dome
Germany,Michael Wuertz,Sports,Second Generation or Higher,38979,Michael James Wuertz  is an American professional baseball pitcher who is currently a free agent
Germany,Louis J. Weichmann,Other,First Generation,38890,Louis J  Weichmann  was one of the chief witnesses for the prosecution in the trial of the alleged conspirators involved in the Abraham Lincoln assassination
Germany,George W. Merck,Business/Technology,Second Generation or Higher,38765,"George Wilhelm Herman Emanuel Merck , was the president of Merck &amp; Co"
Germany,John P. Grotzinger,Academia/Science,Second Generation or Higher,38653,John P  Grotzinger is the Fletcher Jones Professor of Geology at California Institute of Technology under the Division of Geological and Planetary Sciences
Germany,Charles Mohr,Other,First Generation,38611,Charles Theodor Mohr  was a pharmacist and botanist of German descent who lived and worked in the United States
Germany,Gottfried Reinhardt,Arts/Entertainment,Second Generation or Higher,38445,Gottfried Reinhardt  was an Austrian  film director and producer
Germany,Walter Mueller,Sports,Second Generation or Higher,38443,"Walter John Mueller  was a professional baseball player who played outfield in the Major Leagues, for the Pittsburgh Pirates, from 1922 to 1926"
Germany,Margarethe Schurz,Other,First Generation,38431,
Germany,Otto Timm,Business/Technology,Second Generation or Higher,38402,Otto William Timm  was a California-based barnstormer and aircraft manufacturer of German descent
Germany,Roy Hartzell,Sports,Second Generation or Higher,38382,"Roy Allen Hartzell , played in the Major League Baseball from 1906 to 1916"
Germany,Francis Wolff,Business/Technology,Second Generation or Higher,38200,"Francis Wolff  was a record company executive, photographer and record producer"
Germany,Fredericka Mandelbaum,Other,Second Generation or Higher,38182,"Fredericka ""Marm"" Mandelbaum  was a New York entrepreneur and operated as a criminal fence to many of the street gangs and criminals of the city's underworld, handling between $1"
Germany,Theodore Hamm,Other,Second Generation or Higher,38135,"Theodore Hamm  is an American author, writer and the founding editor of the New York City-based literary and culture tabloid The Brooklyn Rail"
Germany,Jack Schaefer,Literature,First Generation,38120,Jack Warner Schaefer  was an American writer known for his Westerns
Germany,Richard W. Guenther,Government,Second Generation or Higher,37998,Richard William Guenther  was a Prussian-born 19th century politician and pharmacist in Wisconsin
Germany,Jim Rohr,Business/Technology,Second Generation or Higher,37977,
Germany,Ursula Hegi,Literature,First Generation,37642,Ursula Hegi  is a German-born American writer
Germany,Gene Brewer,Literature,Second Generation or Higher,37570,"Gene Brewer  is the author of the K-PAX series of novels, about a man who claims to be a visiting extraterrestrial from a planet called K-PAX: K-PAX , On a Beam of Light , K-PAX III: The Worlds of Prot , K-PAX IV  and Prot's Report, a brief natural history of the Earth, which appears in K-PAX: The Trilogy, an omnibus edition of the first three K-PAX books"
Germany,Louis Maurer,Arts/Entertainment,Second Generation or Higher,37557,"Louis Maurer  was a German-born American lithographer, and the father of the American painter Alfred Henry Maurer"
Germany,Felix Bressart,Arts/Entertainment,First Generation,37541,Felix Bressart  was a German-American actor of stage and screen
Germany,Carl von Marr,Arts/Entertainment,First Generation,37512,Carl von Marr  was an American-born German painter
Germany,William Muhlenberg Hiester,Government,Second Generation or Higher,37392,William Muhlenberg Hiester  An American political and military leader in the State of Pennsylvania
Germany,Isaac Ellmaker Hiester,Government,Second Generation or Higher,37361,Isaac Ellmaker Hiester  was an American political leader of the nineteenth Century
Germany,Vic Wertz,Sports,Second Generation or Higher,37338,Victor Woodrow Wertz  was a Major League Baseball first baseman and outfielder
Germany,Samuel Hirsch,Religion,Second Generation or Higher,37336,"Samuel Hirsch,  was a major Reform religious philosopher and rabbi"
Germany,Wings Hauser,Arts/Entertainment,Second Generation or Higher,37244,"Wings Hauser  is an American actor, director, and film writer"
Germany,William J. Diehl,Government,Second Generation or Higher,37216,"William J  Diehl , served as Mayor of Pittsburgh from 1899 to 1901"
Germany,Doug Waechter,Sports,Second Generation or Higher,37192,"Douglas Michael Waechter  is an American former professional baseball pitcher for the Tampa Bay Devil Rays, Florida Marlins and Kansas City Royals in Major League Baseball"
