0
United Kingdom,17.7,3.2,4.5,8.6,4.0,6.6,0.1,2.9,7.3,18.1,20.9,6.1
Venezuela,29.3,2.2,14.8,8.4,2.7,2.1,10.2,3.4,4.8,6.9,11.2,4.0
Vietnam,38.1,1.1,9.9,3.5,4.3,1.2,4.6,7.5,7.3,5.1,7.2,10.2
4
Brazil,21.1,1.6,10.5,7.3,2.4,3.1,14.4,2.9,6.2,7.7,16.9,5.8
Canada,14.7,6.5,8.2,8.5,15.0,3.9,0.1,3.2,9.2,12.4,14.8,3.6
China,28.0,1.7,19.8,5.3,1.4,0.9,2.8,11.5,8.9,8.1,8.6,3.0
Colombia,20.4,2.2,14.0,8.1,2.6,4.7,6.9,3.5,10.7,9.7,13.2,3.8
France,26.1,0.8,13.9,5.2,1.1,6.4,1.5,4.2,6.3,8.7,20.4,5.4
Germany,29.4,1.8,7.8,4.1,1.7,6.6,0.6,3.3,7.5,12.2,16.3,8.5
Hong Kong,24.8,1.6,7.4,10.2,2.4,2.7,1.9,6.6,6.2,16.4,14.6,5.2
India,11.7,0.5,38.0,1.4,4.7,0.5,0.2,26.0,10.0,2.7,3.4,1.1
Indonesia,29.5,2.4,16.8,8.9,2.1,1.4,1.0,5.4,7.5,8.6,11.7,4.7
Iran,4.6,0.9,56.0,5.2,2.3,0.9,0.8,10.3,11.1,3.7,3.7,0.5
Japan,18.8,2.8,4.3,7.7,2.9,4.5,15.2,2.4,4.8,10.3,20.9,5.4
Kuwait,13.6,1.2,39.4,2.6,2.3,0.6,28.2,1.5,1.8,2.4,4.6,1.9
Malaysia,19.3,2.1,28.5,4.6,2.5,1.4,0.1,6.5,12.2,9.7,10.4,2.6
Mexico,21.3,2.8,17.3,8.4,3.0,3.7,2.8,3.9,7.4,9.5,14.7,5.4
Nepal,15.9,0.7,20.0,1.1,8.5,0.8,0.1,13.9,23.1,5.2,7.6,3.0
